,dates,total,pack,carton,grcy,grcy_nt,misc_total,vape,tobacco,beer,cigar,lotto,p_o,scratch,scp_o,main,card
84,2020-09-23,2833.57,590.17,0.0,66.69,95.03,480.94,527.68,190.83,549.25,23.47,0.0,0.0,0.0,0.0,-2324.82,1630.47
85,2020-09-24,2943.7,638.52,0.0,71.68,83.37,428.76,600.85,153.04,555.17,139.24,31.0,0.0,-3.0,-11.0,-2486.2,1781.34
86,2020-09-25,3671.37,539.95,167.0,127.36,78.1,654.5899999999999,626.65,168.89,685.32,336.25,35.0,0.0,-4.0,-71.0,-3160.6,2323.31
87,2020-09-26,3363.24,702.25,0.0,150.57,81.02,383.51,641.48,155.52,554.38,333.35,70.0,-2.0,0.0,0.0,-2864.44,1996.67
88,2020-09-27,2640.92,559.7,198.3,81.9,62.18,459.88,382.59,149.5,432.75,78.2,14.0,-5.0,0.0,-5.0,-2407.2,1583.04
89,2020-09-28,3016.03,697.39,0.0,83.68,88.84,435.53999999999996,521.81,202.36,513.62,188.33,76.0,-46.0,0.0,-10.0,-2483.11,1722.96
90,2020-09-29,2981.51,640.97,79.1,69.11,87.93,314.47999999999996,638.77,182.02,506.07,155.97,51.0,0.0,0.0,0.0,-2662.95,1894.65
91,2020-09-30,3116.45,563.44,0.0,72.28,86.87,248.72,640.52,208.53,632.84,343.93,73.0,-2.0,0.0,-20.0,-2847.55,2180.75
92,2020-10-01,3646.03,596.99,0.0,112.04,94.93,704.76,694.83,182.17,539.47,337.28,93.0,-17.0,0.0,-43.0,-2960.95,2196.52
93,2020-10-02,3311.83,628.63,0.0,86.03,65.34,617.73,501.68,167.12,630.77,251.1,78.0,0.0,0.0,0.0,-2927.78,2003.25
94,2020-10-03,2898.86,648.7,0.0,122.44,49.2,447.83000000000004,528.37,95.74,467.26,192.56,114.0,0.0,0.0,-15.0,-2143.57,1568.47
95,2020-10-04,2107.54,454.21,0.0,67.59,37.97,214.59,432.61,143.69,445.04,72.68,78.0,-15.0,0.0,-5.0,-1563.94,1159.3
96,2020-10-05,2524.04,560.1,0.0,53.71,55.74,306.97,596.72,185.22,437.1,112.52,76.0,-3.0,0.0,-80.0,-2208.08,1524.55
97,2020-10-06,2889.51,561.27,110.2,64.95,83.06,287.55,817.19,153.02,406.09,109.68,54.0,-6.0,0.0,0.0,-2545.65,1771.72
98,2020-10-07,2814.81,512.99,0.0,100.31,51.08,383.33,666.2,124.59,557.9,106.68,75.0,-6.0,0.0,0.0,-2416.13,1752.32
99,2020-10-08,3592.4,766.28,173.2,89.25,61.86,436.60999999999996,778.03,89.27,635.82,176.99,24.0,0.0,0.0,0.0,-2741.19,1938.54
100,2020-10-09,3618.41,520.45,0.0,73.96,79.49,669.96,580.24,226.8,680.64,405.18,80.0,-1.0,0.0,0.0,-3066.85,2259.16
101,2020-10-10,3045.18,622.76,0.0,91.78,56.64,389.96000000000004,686.44,136.45,597.33,152.71,104.0,-20.0,0.0,-38.0,-2559.57,1904.93
102,2020-10-11,2510.87,420.99,0.0,75.52,52.32,523.25,581.98,155.19,388.34,106.32,4.0,0.0,0.0,-20.0,-2197.15,1559.85
103,2020-10-12,2817.24,622.27,0.0,71.34,49.66,456.65999999999997,501.89,140.75,489.43,156.76,88.0,0.0,0.0,-1.0,-2180.73,1503.52
104,2020-10-13,2319.81,609.4,0.0,48.43,44.83,220.91000000000003,332.0,122.01,562.36,130.83,76.0,0.0,-3.0,-30.0,-1952.41,1212.91
105,2020-10-14,2952.24,483.9,0.0,70.47,64.74,552.7900000000001,673.34,161.4,519.08,66.6,160.0,-57.0,0.0,0.0,-2303.86,1483.69
106,2020-10-15,2555.24,593.58,0.0,63.62,49.31,357.6,526.0,153.28,355.85,158.36,79.0,0.0,0.0,0.0,-2180.66,1526.75
107,2020-10-16,3541.96,798.99,0.0,99.35,89.29,389.18,775.44,155.14,751.9,151.58,87.0,0.0,0.0,-65.0,-2970.46,2391.94
108,2020-10-17,3042.99,536.63,110.2,89.76,46.93,424.66999999999996,669.48,80.15,418.15,272.47,137.0,0.0,0.0,0.0,-2521.35,1997.32
109,2020-10-18,2899.0,507.68,0.0,92.48,35.95,459.53000000000003,693.61,169.43,502.04,131.98,57.0,-20.0,0.0,0.0,-2605.89,2001.59
110,2020-10-19,2658.29,500.1,0.0,71.54,74.96,280.78999999999996,792.52,112.8,519.58,8.59,77.0,-6.0,0.0,0.0,-2037.83,1419.84
111,2020-10-20,2608.75,487.93,0.0,54.68,51.13,484.72,723.29,80.74,344.05,143.32,84.0,-9.0,0.0,-1.0,-2258.75,1645.71
112,2020-10-21,3063.05,653.99,0.0,88.37,68.4,491.96,469.7,167.92,551.95,260.04,55.0,0.0,0.0,-10.0,-2356.24,1873.95
113,2020-10-22,3011.32,581.67,0.0,80.2,94.03,211.92999999999998,682.47,204.3,674.18,171.47,70.0,-6.0,0.0,-11.0,-2481.45,1636.88
114,2020-10-23,2942.82,583.98,0.0,89.13,56.58,402.5,514.11,153.26,680.95,140.39,65.0,-6.0,0.0,0.0,-2480.96,1853.26
115,2020-10-24,3585.33,437.64,167.0,91.38,51.6,457.38,740.81,182.13,705.48,298.05,168.0,-9.0,0.0,-10.0,-3216.52,2677.84
116,2020-10-25,2819.45,460.23,0.0,88.19,142.31,418.84999999999997,663.91,80.12,584.02,111.47,40.0,-8.0,0.0,0.0,-2237.95,1511.12
117,2020-10-26,2507.68,523.59,110.2,91.94,61.86,244.24,679.87,106.32,398.17,21.99,64.0,-10.0,0.0,0.0,-2123.96,1442.95
118,2020-10-27,2534.86,564.83,0.0,79.46,61.41,218.7,420.45,217.44,429.51,202.06,20.0,0.0,0.0,0.0,-2074.75,1530.59
119,2020-10-28,2664.74,607.24,0.0,76.88,61.57,251.69,644.2,140.0,530.49,50.64,87.0,-15.0,0.0,0.0,-2393.88,1535.64
120,2020-10-29,3094.69,589.96,0.0,78.84,44.66,560.78,755.63,219.04,489.04,59.25,30.0,0.0,0.0,-5.0,-2107.47,1572.57
121,2020-10-30,3808.98,711.83,0.0,68.76,66.81,527.45,1047.86,214.88,553.11,270.25,12.0,0.0,0.0,-105.0,-3467.26,2579.94
122,2020-10-31,4104.23,669.35,0.0,91.7,66.01,791.6300000000001,1049.14,178.46,541.53,277.2,129.0,-48.0,0.0,0.0,-3583.84,2714.65
123,2020-11-01,2741.26,550.73,0.0,91.26,100.51,416.34999999999997,508.85,167.56,355.89,293.99,23.0,-3.0,0.0,0.0,-2392.57,1766.99
124,2020-11-02,2583.02,524.23,110.2,66.85,49.64,365.52,481.42,163.85,435.44,136.75,21.0,0.0,0.0,0.0,-2232.32,1656.09
125,2020-11-03,3353.73,645.18,0.0,134.97,54.44,517.88,884.74,214.06,515.31,88.11,25.0,-23.0,0.0,0.0,-2582.43,1991.42
126,2020-11-04,2603.65,547.74,0.0,56.66,87.11,485.14000000000004,348.45,205.62,377.11,203.6,143.0,-42.0,0.0,-29.0,-2092.06,1509.5
127,2020-11-05,3039.42,487.01,0.0,105.67,71.93,424.25,500.89,211.75,624.91,318.11,80.0,-40.0,0.0,0.0,-2679.42,2121.17
128,2020-11-06,3870.09,773.71,0.0,133.25,106.63,315.40999999999997,1024.52,163.11,674.74,141.35,218.0,0.0,0.0,0.0,-3322.37,2291.58
129,2020-11-07,3297.04,557.14,0.0,47.84,62.65,515.0500000000001,882.03,279.89,478.31,285.61,90.0,-10.0,0.0,-13.0,-2750.64,2085.65
130,2020-11-08,2216.65,392.71,0.0,25.52,46.2,370.47999999999996,616.43,173.93,356.94,29.16,14.0,0.0,0.0,0.0,-1872.94,1545.7
131,2020-11-09,2852.8,629.5,110.2,84.95,73.01,245.68,816.9,125.54,414.25,41.35,72.0,0.0,0.0,-5.0,-2545.33,1918.28
132,2020-11-10,3098.49,465.78,0.0,42.66,48.95,520.19,830.75,112.04,542.16,245.83,18.0,0.0,0.0,0.0,-2789.65,1978.17
133,2020-11-11,2896.33,561.5,0.0,67.1,84.67,531.96,380.3,221.74,541.47,206.11,110.0,-7.0,0.0,-50.0,-2513.61,1689.88
134,2020-11-12,3219.74,487.51,0.0,65.49,47.46,178.51,1090.92,152.53,547.96,158.01,61.0,-2.0,0.0,-6.0,-2891.34,2060.28
135,2020-11-13,3596.01,739.15,0.0,122.6,48.15,522.78,724.56,178.31,679.08,206.77,0.0,0.0,0.0,0.0,-2986.05,2254.24
136,2020-11-14,3143.52,442.95,0.0,76.9,24.62,636.59,706.19,144.16,611.94,182.06,59.0,-25.0,0.0,0.0,-2889.72,2159.61
137,2020-11-15,2660.9,374.95,0.0,88.81,5.68,521.31,736.23,184.72,360.83,99.97,54.0,0.0,0.0,0.0,-2167.31,1507.36
138,2020-11-16,3107.85,622.04,285.71,101.09,47.84,425.5,599.81,184.53,444.55,71.12,112.0,-2.0,0.0,-55.0,-2503.35,1791.29
139,2020-11-17,3313.17,640.88,0.0,58.14,51.35,470.11,813.49,205.67,614.63,124.07,59.0,0.0,0.0,-14.0,-2977.24,2189.2
140,2020-11-18,3160.67,573.36,0.0,77.87,67.44,518.93,770.87,143.07,510.33,112.82,126.0,-6.0,0.0,-2.0,-2677.11,1909.48
141,2020-11-19,2962.67,627.55,0.0,66.9,49.97,200.12,810.14,179.35,474.78,228.67,69.0,0.0,0.0,0.0,-2712.68,1956.16
142,2020-11-20,3959.53,832.77,0.0,94.32,57.85,418.97,796.35,221.86,826.95,259.8,109.0,0.0,0.0,0.0,-3781.44,2662.84
143,2020-11-21,3136.4,442.47,0.0,85.99,84.29,608.19,558.55,211.88,550.32,205.13,141.0,-5.0,0.0,-10.0,-2987.82,2120.89
144,2020-11-22,2510.22,616.32,0.0,86.16,49.76,330.11,553.19,125.88,424.96,130.24,31.0,-3.0,0.0,-55.0,-1838.6,1423.55
145,2020-11-23,3202.23,564.08,110.2,76.35,63.47,475.30999999999995,733.25,176.78,422.77,241.8,68.0,-2.0,0.0,-5.0,-2596.86,1893.1
146,2020-11-24,3115.28,633.66,0.0,78.6,46.14,495.1499999999999,490.97,154.82,545.16,329.67,90.0,-19.0,0.0,0.0,-2651.77,1950.14
147,2020-11-25,4388.85,672.66,0.0,79.73,62.65,543.44,1214.99,249.96,819.85,314.94,119.0,0.0,0.0,-74.0,-3891.09,2962.03
148,2020-11-26,1828.04,390.12,0.0,82.01,15.73,319.69,404.62,104.75,265.56,49.52,38.0,-3.0,0.0,0.0,-1564.48,1193.01
149,2020-11-27,4040.86,674.79,257.0,85.4,69.17,515.08,764.54,243.75,724.58,314.66,43.0,0.0,0.0,-6.0,-3322.47,2601.59
150,2020-11-28,3808.85,489.26,0.0,116.2,84.2,891.9,839.27,155.66,555.81,257.18,108.0,-10.0,0.0,-5.0,-3556.04,2705.84
