매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
,,5/28/2017 Sun,"$1,363.34",$394.50,$236.70,$29.90,$310.06,$172.86,$95.91,"-$1,046.39",$720.91,25.02%,52.88%,,,,,,,,,,$316.95,,,,,,,,,
,,5/29/2017Mon,"$2,413.37",$764.39,$270.10,$46.90,$872.28,$163.65,$76.68,"-$1,443.13","$1,114.74",39.76%,46.19%,Memorial Day,Week 11,"$2,173.67",$651.98,$246.93,$30.94,$712.64,$223.91,$109.83,$970.24,"$4,982.66",,,,,,,,
,,5/30/2017 Tues,"$1,851.88",$581.24,$148.80,$36.42,$580.34,$242.02,$94.86,"-$1,295.73",$803.55,34.47%,43.39%,,,,,,,,,,$556.15,,,,,,,,,
,,5/31/2017 Wed,"$1,706.04",$526.61,$253.60,$23.90,$349.40,$315.47,$82.05,"-$1,356.03",$762.88,22.53%,44.72%,,,,,,,,,,$350.01,,,,,,,,,
2017년 6월,매출 보고,6/1/2017 Thur,"$2,303.21",$801.12,$81.90,$28.00,$750.08,$304.57,$128.96,"-$1,567.88","$1,118.23",35.82%,48.55%,,,,,,,,,,$735.33,,,,,,,,,
,,6/2/2017 Fri,"$2,829.72",$799.28,$431.90,$37.87,$900.50,$220.76,$182.28,"-$1,845.38","$1,292.61",35.01%,45.68%,,,,,,,,,,$984.34,,,,,,,,,
실제 수익,"$64,496.30",6/3/2017 Sat,"$2,266.34",$620.36,$147.80,$21.24,$926.84,$227.05,$117.01,"-$1,299.15",$956.63,44.99%,42.21%,,,,,,,,,,$967.19,,,,,,,,,
보고 수익,"$43,159.81",6/4/2017 Sun,"$1,845.14",$470.86,$394.40,$22.23,$609.06,$93.82,$86.97,"-$1,425.74","$1,015.55",36.31%,55.04%,,,,,,,,,,$419.40,,,,,,,,,
카드 수익,"$30,840.57",6/5/2017 Mon,"$2,062.99",$685.62,$119.80,$15.24,$689.47,$242.16,$123.17,"-$1,337.90",$914.36,36.76%,44.32%,,Week 12,"$1,936.59",$664.77,$201.93,$30.89,$532.37,$209.37,$121.67,$725.09,"$3,996.80",,,,,,,,
,"$12,319.24",6/6/2017 Tues,"$1,834.03",$786.46,$160.80,$33.51,$379.26,$193.11,$114.07,"-$1,408.58",$982.72,22.75%,53.58%,,,,,,,,,,$425.45,,,,,,,,,
담배 수익,"$26,809.46",6/7/2017 Wed,"$1,499.15",$604.94,$0.00,$31.91,$352.91,$230.27,$143.99,-$939.22,$416.18,25.89%,27.76%,,,,,,,,,,$559.93,,,,,,,,,
그로서리 수익,"$1,317.31",6/8/2017 Thur,"$1,730.10",$641.16,$78.90,$47.12,$537.17,$167.98,$101.59,"-$1,227.47",$938.79,34.15%,54.26%,,,,,,,,,,$502.63,,,,,,,,,
잡화 수익,"$19,925.70",6/9/2017 Fri,"$2,418.17",$862.20,$78.90,$35.14,$800.87,$253.37,$168.43,"-$1,701.07","$1,312.08",36.43%,54.26%,,,,,,,,,,$717.10,,,,,,,,,
