,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
,,6/13/2018 Wed,$892.54,$191.25,$169.00,$3.97,$404.76,,,$13.72,$28.64,,-$727.54,$543.03,49.88%,60.84%,74.64%,,,,,,,,,,,,$165.00,,6/13/2018 Wed,$892.54,$360.25,$3.97,$404.76,$13.72,$28.64,,
,,6/14/2018 Thu,"$1,240.46",$298.96,$0.00,$13.23,$735.69,,,$26.78,$53.39,,"-$1,237.17",$867.00,65.24%,69.89%,70.08%,,,,,,,,,,,,$3.29,,6/14/2018 Thu,"$1,240.46",$298.96,$13.23,$735.69,$26.78,$53.39,,
,,6/15/2018 Fri,$943.81,$204.44,$0.00,$2.99,$518.27,,,$113.87,$18.37,,-$701.81,$441.94,60.40%,46.83%,62.97%,,,,,,,,,,,,$242.00,,6/15/2018 Fri,$943.81,$204.44,$2.99,$518.27,$113.87,$18.37,,
,,6/16/2018 Sat,$800.34,$12.84,$0.00,$5.86,$555.73,,,$31.96,$26.33,,-$600.16,$433.08,76.38%,54.11%,72.16%,,,,,,,,,,,,$200.18,,6/16/2018 Sat,$800.34,$12.84,$5.86,$555.73,$31.96,$26.33,,
,,6/17/2018 Sun,$692.78,$165.19,$0.00,$10.26,$401.44,,,$45.52,$11.96,,-$527.78,$335.13,63.74%,48.37%,63.50%,,,,,,,,,,,,$165.00,,6/17/2018 Sun,$692.78,$165.19,$10.26,$401.44,$45.52,$11.96,,
,,6/18/2018 Mon,$697.14,$182.75,$0.00,$13.43,$352.59,,,$28.43,$56.48,,-$543.14,$285.29,55.63%,40.92%,52.53%,,Week 13,"$1,035.99",$184.11,$69.10,$9.58,$591.60,,,$52.05,$36.16,$154.00,"$2,063.27",6/18/2018 Mon,$697.14,$182.75,$13.43,$352.59,$28.43,$56.48,,
,,6/19/2018 Tue,"$1,536.21",$194.13,$155.80,$4.28,$924.73,,,$73.42,$44.13,,-$986.21,$624.99,66.22%,40.68%,63.37%,,,,,,,,,,,,$550.00,,6/19/2018 Tue,"$1,536.21",$349.93,$4.28,$924.73,$73.42,$44.13,,
,,6/20/2018 Wed,$714.94,$193.49,$0.00,$12.43,$350.60,,,$48.41,$44.95,,-$342.06,$123.65,53.94%,17.30%,36.15%,,,,,,,,,,,,$372.88,,6/20/2018 Wed,$714.94,$193.49,$12.43,$350.60,$48.41,$44.95,,
,,6/21/2018 Thu,"$1,163.06",$225.90,$79.90,$4.49,$657.05,,,$57.97,$31.92,,-$998.06,$702.33,62.14%,60.39%,70.37%,,,,,,,,,,,,$165.00,,6/21/2018 Thu,"$1,163.06",$305.80,$4.49,$657.05,$57.97,$31.92,,
,,6/22/2018 Fri,"$1,571.13",$200.45,$98.90,$15.03,"$1,001.32",,,$60.50,$52.01,,"-$1,186.13",$807.64,70.11%,51.41%,68.09%,,,,,,,,,,,,$385.00,,6/22/2018 Fri,"$1,571.13",$299.35,$15.03,"$1,001.32",$60.50,$52.01,,
,,6/23/2018 Sat,$947.33,$156.09,$71.20,$14.42,$528.61,,,$75.57,$21.24,,-$642.94,$460.05,61.38%,48.56%,71.55%,,,,,,,,,,,,$304.39,,6/23/2018 Sat,$947.33,$227.29,$14.42,$528.61,$75.57,$21.24,,
,,6/24/2018 Sun,$622.14,$135.94,$77.90,$2.98,$326.27,,,$20.06,$2.39,,-$490.14,$317.74,57.69%,51.07%,64.83%,,,,,,,,,,,,$132.00,,6/24/2018 Sun,$622.14,$213.84,$2.98,$326.27,$20.06,$2.39,,
