,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
맥주 수익,"$2,181.90",3/11/2020 Wed,"$2,706.29",$526.45,$83.60,$14.32,"$1,747.91",,,$30.76,$57.08,,"-$2,200.66","$1,468.99",71.05%,54.28%,66.75%,,,,,,,,,,,,$505.63,,3/11/2020 Wed,"$2,706.29",$610.05,$14.32,"$1,747.91",$30.76,$57.08,,
,,3/12/2020 Thu,"$2,869.91",$644.01,$133.50,$39.45,"$1,564.21",,,$131.85,$95.82,,"-$2,578.79","$1,778.45",59.95%,61.97%,68.96%,,,,,,,,,,,,$291.12,,3/12/2020 Thu,"$2,869.91",$777.51,$39.45,"$1,564.21",$131.85,$95.82,,
,"$3,254.95",3/13/2020 Fri,"$3,760.12",$544.61,$92.70,$24.46,"$2,441.52",,,$175.97,$138.84,,"-$3,024.22","$2,087.96",71.43%,55.53%,69.04%,,,,,,,,,,,,$735.90,,3/13/2020 Fri,"$3,760.12",$637.31,$24.46,"$2,441.52",$175.97,$138.84,,
,,3/14/2020 Sat,"$3,858.81",$510.56,$166.30,$20.47,"$2,661.86",,,$98.47,$50.17,,"-$2,978.74","$2,268.35",75.88%,58.78%,76.15%,,,,,,,,,,,,$880.07,,3/14/2020 Sat,"$3,858.81",$676.86,$20.47,"$2,661.86",$98.47,$50.17,,
,,3/15/2020 Sun,"$3,422.83",$396.21,$848.80,$29.09,"$1,671.85",,,$83.66,$81.89,,"-$3,054.30","$2,421.89",53.73%,70.76%,79.29%,,,,,,,,,,,,$368.53,,3/15/2020 Sun,"$3,422.83","$1,245.01",$29.09,"$1,671.85",$83.66,$81.89,,
,,3/16/2020 Mon,"$4,442.88",$774.79,$344.20,$13.10,"$2,638.39",,,$185.86,$81.43,,"-$3,756.74","$2,531.18",65.32%,56.97%,67.38%,,Week 104,"$3,491.23",$506.59,$306.67,$14.64,"$2,114.14",,,$158.63,$72.86,$686.14,,3/16/2020 Mon,"$4,442.88","$1,118.99",$13.10,"$2,638.39",$185.86,$81.43,,
,,3/17/2020 Tue,"$3,055.02",$347.59,$163.50,$22.78,"$2,016.02",,,$175.39,$51.86,,"-$2,467.29","$1,809.13",72.59%,59.22%,73.32%,,,,,,,,,,,,$587.73,,3/17/2020 Tue,"$3,055.02",$511.09,$22.78,"$2,016.02",$175.39,$51.86,,
,,3/18/2020 Wed,"$3,324.51",$505.21,$382.50,$23.25,"$1,929.79",,,$112.11,$69.25,,"-$3,050.56","$2,157.37",63.85%,64.89%,70.72%,,,,,,,,,,,,$273.95,,3/18/2020 Wed,"$3,324.51",$887.71,$23.25,"$1,929.79",$112.11,$69.25,,
,,3/19/2020 Thu,"$2,938.12",$453.78,$228.10,$14.91,"$1,780.86",,,$97.41,$95.84,,"-$2,091.69","$1,396.81",66.67%,47.54%,66.78%,,,,,,,,,,,,$846.43,,3/19/2020 Thu,"$2,938.12",$681.88,$14.91,"$1,780.86",$97.41,$95.84,,
,,3/20/2020 Fri,"$5,018.44",$634.61,$140.80,$15.28,"$3,436.32",,,$242.51,$92.50,,"-$5,018.42","$3,535.77",75.32%,70.46%,70.46%,,,,,,,,,,,,$0.02,,3/20/2020 Fri,"$5,018.44",$775.41,$15.28,"$3,436.32",$242.51,$92.50,,
,,3/21/2020 Sat,"$2,907.74",$478.66,$406.30,$4.98,"$1,498.29",,,$182.50,$72.58,,"-$2,907.74","$2,008.10",56.68%,69.06%,69.06%,,,,,,,,,,,,$0.00,,3/21/2020 Sat,"$2,907.74",$884.96,$4.98,"$1,498.29",$182.50,$72.58,,
,,3/22/2020 Sun,"$2,751.87",$351.52,$481.30,$8.15,"$1,499.32",,,$114.66,$46.58,,"-$2,528.89","$1,766.55",59.93%,64.19%,69.85%,,,,,,,,,,,,$222.98,,3/22/2020 Sun,"$2,751.87",$832.82,$8.15,"$1,499.32",$114.66,$46.58,,
,,3/23/2020 Mon,"$3,827.76",$523.85,$0.00,$13.22,"$2,680.53",,,$153.49,$108.48,,"-$2,781.01","$2,016.75",77.03%,52.69%,72.52%,,Week 105,"$3,444.22",$495.32,$221.53,$9.58,"$2,187.92",,,$147.66,$68.95,"$1,046.75",,3/23/2020 Mon,"$3,827.76",$523.85,$13.22,"$2,680.53",$153.49,$108.48,,
,,3/24/2020 Tue,"$4,121.45",$460.39,$411.60,$9.63,"$2,530.86",,,$272.76,$61.38,,"-$3,442.82","$2,445.83",67.55%,59.34%,71.04%,,,,,,,,,,,,$678.63,,3/24/2020 Tue,"$4,121.45",$871.99,$9.63,"$2,530.86",$272.76,$61.38,,
,,3/25/2020 Wed,"$4,012.64",$598.05,$157.20,$7.85,"$2,665.79",,,$119.49,$99.31,,"-$3,572.63","$2,496.26",73.08%,62.21%,69.87%,,,,,,,,,,,,$440.01,,3/25/2020 Wed,"$4,012.64",$755.25,$7.85,"$2,665.79",$119.49,$99.31,,
,,3/26/2020 Thu,"$2,173.44",$391.95,$79.90,$6.57,"$1,387.29",,,$54.48,$55.59,,"-$2,173.44","$1,408.49",70.21%,64.80%,64.80%,,,,,,,,,,,,$0.00,,3/26/2020 Thu,"$2,173.44",$471.85,$6.57,"$1,387.29",$54.48,$55.59,,
,,3/27/2020 Fri,"$3,836.85",$529.19,$321.60,$10.32,"$2,489.71",,,$79.26,$57.89,,"-$3,825.85","$2,624.42",71.38%,68.40%,68.60%,,,,,,,,,,,,$11.00,,3/27/2020 Fri,"$3,836.85",$850.79,$10.32,"$2,489.71",$79.26,$57.89,,
,,3/28/2020 Sat,"$3,825.21",$426.37,$580.40,$8.36,"$2,191.56",,,$222.52,$48.07,,"-$3,369.13","$2,471.90",63.02%,64.62%,73.37%,,,,,,,,,,,,$456.08,,3/28/2020 Sat,"$3,825.21","$1,006.77",$8.36,"$2,191.56",$222.52,$48.07,,
,,3/29/2020 Sun,"$2,312.20",$537.44,$0.00,$11.09,"$1,369.73",,,$131.64,$51.95,,"-$2,075.17","$1,387.62",65.16%,60.01%,66.87%,,,,,,,,,,,,$237.03,,3/29/2020 Sun,"$2,312.20",$537.44,$11.09,"$1,369.73",$131.64,$51.95,,
,,3/30/2020 Mon,"$3,582.19",$656.01,$235.40,$14.72,"$2,160.52",,,$119.65,$70.07,,"-$3,073.10","$2,067.18",66.34%,57.71%,67.27%,,April,"$3,777.28",$563.65,$419.67,$11.86,"$2,129.91",,,$221.55,$87.09,$509.09,,3/30/2020 Mon,"$3,582.19",$891.41,$14.72,"$2,160.52",$119.65,$70.07,,
,,3/31/2020 Tue,"$3,199.37",$453.77,$320.60,$9.75,"$1,899.27",,,$130.03,$94.92,,"-$2,792.68","$1,879.22",65.30%,58.74%,67.29%,,,,,,,,,,,,$406.69,,3/31/2020 Tue,"$3,199.37",$774.37,$9.75,"$1,899.27",$130.03,$94.92,,
2020년 4월,매출 보고,4/1/2020 Wed,"$4,066.85",$720.72,$625.10,$21.46,"$1,983.50",,,$273.26,$72.92,,"-$3,297.33","$2,208.05",53.65%,54.29%,66.96%,,,,,,,,,,,,$769.52,,4/1/2020 Wed,"$4,066.85","$1,345.82",$21.46,"$1,983.50",$273.26,$72.92,,
,,4/2/2020 Thu,"$3,567.29",$593.36,$321.70,$12.39,"$1,878.21",,,$331.21,$105.97,,"-$3,054.56","$2,104.64",57.92%,59.00%,68.90%,,,,,,,,,,,,$512.73,,4/2/2020 Thu,"$3,567.29",$915.06,$12.39,"$1,878.21",$331.21,$105.97,,
실제 수익,"$121,645.85",4/3/2020 Fri,"$5,180.80",$742.26,$681.80,$10.42,"$3,017.05",,,$144.67,$113.40,,"-$4,697.10","$3,393.28",64.06%,65.50%,72.24%,,,,,,,,,,,,$483.70,,4/3/2020 Fri,"$5,180.80","$1,424.06",$10.42,"$3,017.05",$144.67,$113.40,,
보고 수익,"$103,522.31",4/4/2020 Sat,"$3,525.48",$452.14,$328.00,$7.64,"$2,205.62",,,$141.04,$70.37,,"-$2,599.68","$1,879.94",68.82%,53.32%,72.31%,,,,,,,,,,,,$925.80,,4/4/2020 Sat,"$3,525.48",$780.14,$7.64,"$2,205.62",$141.04,$70.37,,
카드 수익,"$73,483.60",4/5/2020 Sun,"$3,319.01",$327.28,$425.10,$6.66,"$1,765.18",,,$411.00,$81.98,,"-$3,234.87","$2,273.06",58.50%,68.49%,70.27%,,,,,,,,,,,,$84.14,,4/5/2020 Sun,"$3,319.01",$752.38,$6.66,"$1,765.18",$411.00,$81.98,,
,"$30,038.71",4/6/2020 Mon,"$4,108.72",$512.71,$510.70,$10.34,"$2,272.74",,,$228.66,$199.83,,"-$3,295.11","$2,364.53",60.85%,57.55%,71.76%,,Week 107,"$3,499.03",$577.67,$378.57,$16.32,"$1,956.40",,,$143.41,$109.88,$813.61,,4/6/2020 Mon,"$4,108.72","$1,023.41",$10.34,"$2,272.74",$228.66,$199.83,,
담배 수익,"$28,766.09",4/7/2020 Tue,"$2,856.77",$610.78,$577.10,$13.72,"$1,253.72",,,$81.03,$60.56,,"-$2,624.61","$1,921.55",48.27%,67.26%,73.21%,,,,,,,,,,,,$232.16,,4/7/2020 Tue,"$2,856.77","$1,187.88",$13.72,"$1,253.72",$81.03,$60.56,,
그로서리 수익,$550.41,4/8/2020 Wed,"$3,578.97",$478.10,$332.60,$12.80,"$2,147.37",,,$164.75,$128.25,,"-$3,012.85","$2,014.78",66.00%,56.29%,66.87%,,,,,,,,,,,,$566.12,,4/8/2020 Wed,"$3,578.97",$810.70,$12.80,"$2,147.37",$164.75,$128.25,,
잡화 수익,"$72,457.85",4/9/2020 Thu,"$3,630.60",$486.10,$495.30,$14.31,"$2,001.82",,,$165.94,$136.91,,"-$2,990.75","$2,026.99",60.65%,55.83%,67.78%,,,,,,,,,,,,$639.85,,4/9/2020 Thu,"$3,630.60",$981.40,$14.31,"$2,001.82",$165.94,$136.91,,
토바코 수익,"$50,783.13",4/10/2020 Fri,"$3,878.27",$865.80,$80.90,$26.03,"$2,307.59",,,$165.65,$79.56,,"-$3,166.59","$2,144.24",65.45%,55.29%,67.71%,,,,,,,,,,,,$711.68,,4/10/2020 Fri,"$3,878.27",$946.70,$26.03,"$2,307.59",$165.65,$79.56,,
맥주 수익,"$2,969.97",4/11/2020 Sat,"$3,745.44",$647.23,$409.00,$28.22,"$2,160.28",,,$111.09,$48.97,,"-$2,645.40","$1,917.90",63.45%,51.21%,72.50%,,,,,,,,,,,,"$1,100.04",,4/11/2020 Sat,"$3,745.44","$1,056.23",$28.22,"$2,160.28",$111.09,$48.97,,
,,4/12/2020 Sun,"$2,694.41",$442.95,$244.40,$8.84,"$1,551.28",,,$86.74,$115.10,,"-$2,298.57","$1,578.53",63.33%,58.59%,68.67%,,,,,,,,,,,,$395.84,,4/12/2020 Sun,"$2,694.41",$687.35,$8.84,"$1,551.28",$86.74,$115.10,,
,"$4,054.86",4/13/2020 Mon,"$4,008.21",$598.75,$83.60,$12.22,"$2,665.77",,,$226.17,$57.15,,"-$3,588.83","$2,459.13",73.16%,61.35%,68.52%,60.26%,Week 108,"$4,459.09",$574.22,$361.09,$23.03,"$2,771.75",,,$205.51,$116.75,$419.38,,4/13/2020 Mon,"$4,008.21",$682.35,$12.22,"$2,665.77",$226.17,$57.15,,
,,4/14/2020 Tue,"$3,098.16",$486.74,$334.40,$15.94,"$1,743.47",,,$131.85,$99.79,,"-$2,710.30","$1,821.31",61.90%,58.79%,67.20%,,,,,,,,,,,,$387.86,,4/14/2020 Tue,"$3,098.16",$821.14,$15.94,"$1,743.47",$131.85,$99.79,,
,,4/15/2020 Wed,"$5,382.81",$580.49,$75.40,$20.95,"$3,863.29",,,$226.77,$126.32,,"-$4,713.14","$3,412.24",78.95%,63.39%,72.40%,,,,,,,,,,,,$669.67,,4/15/2020 Wed,"$5,382.81",$655.89,$20.95,"$3,863.29",$226.77,$126.32,,
,,4/16/2020 Thu,"$5,368.30",$567.55,$584.00,$20.67,"$3,245.87",,,$302.04,$159.97,,"-$4,605.23","$3,383.95",66.51%,63.04%,73.48%,,,,,,,,,,,,$763.07,,4/16/2020 Thu,"$5,368.30","$1,151.55",$20.67,"$3,245.87",$302.04,$159.97,,
,,4/17/2020 Fri,"$4,761.70",$631.14,$402.60,$47.87,"$2,922.45",,,$200.21,$124.30,,"-$4,122.30","$2,573.63",67.51%,54.05%,62.43%,,,,,,,,,,,,$639.40,,4/17/2020 Fri,"$4,761.70","$1,033.74",$47.87,"$2,922.45",$200.21,$124.30,,
,,4/18/2020 Sat,"$4,887.57",$618.39,$650.60,$27.41,"$2,890.36",,,$165.35,$90.93,,"-$4,096.48","$3,246.10",65.05%,66.42%,79.24%,,,,,,,,,,,,$791.09,,4/18/2020 Sat,"$4,887.57","$1,268.99",$27.41,"$2,890.36",$165.35,$90.93,,
,,4/19/2020 Sun,"$3,706.87",$536.48,$397.00,$16.17,"$2,071.06",,,$186.17,$158.81,,"-$3,049.16","$2,030.87",61.46%,54.79%,66.60%,,,,,,,,,,,,$657.71,,4/19/2020 Sun,"$3,706.87",$933.48,$16.17,"$2,071.06",$186.17,$158.81,,
,,4/20/2020 Mon,"$4,348.03",$584.23,$80.90,$15.90,"$3,000.40",,,$220.73,$50.36,,"-$3,634.84","$2,554.53",75.91%,58.75%,70.28%,62.29%,Week 109,"$4,008.94",$559.74,$262.01,$19.94,"$2,526.37",,,$192.69,$83.55,$713.19,,4/20/2020 Mon,"$4,348.03",$665.13,$15.90,"$3,000.40",$220.73,$50.36,,
,,4/21/2020 Tue,"$3,660.34",$478.76,$438.80,$22.85,"$2,150.66",,,$134.53,$101.79,,"-$3,330.31","$2,475.78",64.63%,67.64%,74.34%,,,,,,,,,,,,$330.03,,4/21/2020 Tue,"$3,660.34",$917.56,$22.85,"$2,150.66",$134.53,$101.79,,
,,4/22/2020 Wed,"$4,573.29",$602.06,$323.30,$7.16,"$2,895.25",,,$278.67,$50.89,,"-$4,104.25","$3,525.56",69.64%,77.09%,85.90%,,,,,,,,,,,,$469.04,,4/22/2020 Wed,"$4,573.29",$925.36,$7.16,"$2,895.25",$278.67,$50.89,,
,,4/23/2020 Thu,"$4,303.90",$540.46,$80.90,$22.49,"$2,970.39",,,$216.27,$81.94,,"-$3,750.32","$2,411.11",75.92%,56.02%,64.29%,,,,,,,,,,,,$553.58,,4/23/2020 Thu,"$4,303.90",$621.36,$22.49,"$2,970.39",$216.27,$81.94,,
,,4/24/2020 Fri,"$4,134.85",$583.66,$329.00,$34.69,"$2,522.97",,,$180.98,$107.50,,"-$3,694.84","$2,611.78",67.12%,63.17%,70.69%,,,,,,,,,,,,$440.01,,4/24/2020 Fri,"$4,134.85",$912.66,$34.69,"$2,522.97",$180.98,$107.50,,
,,4/25/2020 Sat,"$4,499.94",$683.68,$507.60,$14.86,"$2,572.16",,,$171.89,$140.46,,"-$3,399.85","$2,468.29",62.88%,54.85%,72.60%,,,,,,,,,,,,"$1,100.09",,4/25/2020 Sat,"$4,499.94","$1,191.28",$14.86,"$2,572.16",$171.89,$140.46,,
,,4/26/2020 Sun,"$2,542.22",$445.31,$73.60,$21.63,"$1,572.75",,,$145.73,$51.93,,"-$2,297.02","$1,487.36",68.05%,58.51%,64.75%,,,,,,,,,,,,$245.20,,4/26/2020 Sun,"$2,542.22",$518.91,$21.63,"$1,572.75",$145.73,$51.93,,
,,4/27/2020 Mon,"$4,680.46",$634.53,$317.00,$19.76,"$2,992.52",,,$238.93,$73.61,,"-$3,950.69","$2,557.42",70.33%,54.64%,64.73%,62.42%,Week 110,"$4,586.87",$638.56,$506.91,$26.79,"$2,745.95",,,$166.58,$87.95,$729.77,,4/27/2020 Mon,"$4,680.46",$951.53,$19.76,"$2,992.52",$238.93,$73.61,,
,,4/28/2020 Tue,"$4,482.75",$720.52,$578.00,$21.02,"$2,435.53",,,$225.32,$94.60,,"-$3,701.84","$2,640.96",59.76%,58.91%,71.34%,,,,,,,,,,,,$780.91,,4/28/2020 Tue,"$4,482.75","$1,298.52",$21.02,"$2,435.53",$225.32,$94.60,,
,,4/29/2020 Wed,"$4,742.39",$589.77,$687.70,$26.83,"$2,721.90",,,$185.04,$99.79,,"-$3,821.40","$2,842.58",63.13%,59.94%,74.39%,,,,,,,,,,,,$920.99,,4/29/2020 Wed,"$4,742.39","$1,277.47",$26.83,"$2,721.90",$185.04,$99.79,,
,,4/30/2020 Thu,"$4,311.45",$609.44,$418.60,$9.16,"$2,676.69",,,$119.42,$86.01,,"-$4,034.09","$3,153.51",68.29%,73.14%,78.17%,,,,,,,,,,,,$277.36,,4/30/2020 Thu,"$4,311.45","$1,028.04",$9.16,"$2,676.69",$119.42,$86.01,,
2020년 5월,매출 보고,5/1/2020 Fri,"$5,898.99",$693.36,$760.20,$36.17,"$3,566.35",,,$211.35,$95.03,,"-$5,113.66","$3,508.68",66.50%,59.48%,68.61%,,,,,,,,,,,,$785.33,,5/1/2020 Fri,"$5,898.99","$1,453.56",$36.17,"$3,566.35",$211.35,$95.03,,
,,5/2/2020 Sat,"$4,422.94",$725.62,$321.80,$44.11,"$2,768.20",,,$66.29,$94.66,,"-$4,018.06","$2,929.46",68.85%,66.23%,72.91%,,,,,,,,,,,,$404.88,,5/2/2020 Sat,"$4,422.94","$1,047.42",$44.11,"$2,768.20",$66.29,$94.66,,
실제 수익,"$135,138.05",5/3/2020 Sun,"$3,569.11",$496.68,$465.10,$30.49,"$2,060.46",,,$119.73,$71.94,,"-$3,182.60","$2,304.81",63.50%,64.58%,72.42%,,,,,,,,,,,,$386.51,,5/3/2020 Sun,"$3,569.11",$961.78,$30.49,"$2,060.46",$119.73,$71.94,,
보고 수익,"$114,353.03",5/4/2020 Mon,"$4,176.97",$511.48,$492.50,$23.49,"$2,528.64",,,$150.99,$89.99,,"-$3,956.95","$2,933.18",66.59%,70.22%,74.13%,61.48%,May,"$4,564.50",$631.63,$454.74,$28.94,"$2,690.80",,,$257.70,$85.53,$220.02,,5/4/2020 Mon,"$4,176.97","$1,003.98",$23.49,"$2,528.64",$150.99,$89.99,,
카드 수익,"$84,057.69",5/5/2020 Tue,"$5,692.52",$693.14,$320.69,$23.00,"$3,284.38",,,$792.34,$61.27,,"-$4,770.96","$3,391.06",63.47%,59.57%,71.08%,,,,,,,,,,,,$921.56,,5/5/2020 Tue,"$5,692.52","$1,013.83",$23.00,"$3,284.38",$792.34,$61.27,,
,"$30,295.34",5/6/2020 Wed,"$4,286.55",$676.37,$454.20,$18.63,"$2,533.20",,,$148.45,$65.80,,"-$3,740.82","$2,551.60",65.01%,59.53%,68.21%,,,,,,,,,,,,$545.73,,5/6/2020 Wed,"$4,286.55","$1,130.57",$18.63,"$2,533.20",$148.45,$65.80,,
담배 수익,"$33,145.30",5/7/2020 Thu,"$4,533.68",$632.55,$522.40,$41.11,"$2,654.59",,,$161.25,$109.39,,"-$3,953.93","$2,812.47",64.41%,62.04%,71.13%,,,,,,,,,,,,$579.75,,5/7/2020 Thu,"$4,533.68","$1,154.95",$41.11,"$2,654.59",$161.25,$109.39,,
그로서리 수익,$943.46,5/8/2020 Fri,"$4,754.56",$463.03,$451.20,$22.01,"$3,020.55",,,$251.54,$113.76,,"-$4,079.72","$2,830.09",69.88%,59.52%,69.37%,,,,,,,,,,,,$674.84,,5/8/2020 Fri,"$4,754.56",$914.23,$22.01,"$3,020.55",$251.54,$113.76,,
잡화 수익,"$79,784.26",5/9/2020 Sat,"$4,800.15",$716.94,$535.10,$31.18,"$2,792.74",,,$217.59,$69.97,,"-$3,599.64","$2,923.41",64.00%,60.90%,81.21%,,,,,,,,,,,,"$1,200.51",,5/9/2020 Sat,"$4,800.15","$1,252.04",$31.18,"$2,792.74",$217.59,$69.97,,
토바코 수익,"$6,220.91",5/10/2020 Sun,"$3,707.09",$727.91,$407.10,$43.19,"$2,021.47",,,$81.72,$88.51,,"-$3,142.25","$2,171.24",59.98%,58.57%,69.10%,,,,,,,,,,,,$564.84,,5/10/2020 Sun,"$3,707.09","$1,135.01",$43.19,"$2,021.47",$81.72,$88.51,,
맥주 수익,"$2,753.46",5/11/2020 Mon,"$4,163.23",$597.22,$524.00,$53.02,"$2,439.21",,,$138.34,$32.72,,"-$3,556.88","$2,414.61",64.45%,58.00%,67.89%,62.93%,Week 112,"$4,429.85",$531.05,$552.46,$31.85,"$2,646.38",,,$185.23,$79.95,$606.35,,5/11/2020 Mon,"$4,163.23","$1,121.22",$53.02,"$2,439.21",$138.34,$32.72,,
,,5/12/2020 Tue,"$4,483.48",$497.04,$511.30,$21.99,"$2,751.29",,,$222.28,$71.82,,"-$3,407.02","$3,129.35",67.50%,69.80%,91.85%,,,,,,,,,,,,"$1,076.46",,5/12/2020 Tue,"$4,483.48","$1,008.34",$21.99,"$2,751.29",$222.28,$71.82,,
,"$4,359.29",5/13/2020 Wed,"$4,345.23",$482.14,$511.30,$21.99,"$2,695.74",,,$181.66,$57.17,,"-$3,745.23","$2,764.44",68.24%,63.62%,73.81%,,,,,,,,,,,,$600.00,,5/13/2020 Wed,"$4,345.23",$993.44,$21.99,"$2,695.74",$181.66,$57.17,,
,,5/14/2020 Thu,"$5,225.96",$534.57,$641.40,$29.90,"$3,194.70",,,$236.27,$113.78,,"-$4,529.79","$3,031.60",67.24%,58.01%,66.93%,,,,,,,,,,,,$696.17,,5/14/2020 Thu,"$5,225.96","$1,175.97",$29.90,"$3,194.70",$236.27,$113.78,,
,,5/15/2020 Fri,"$3,928.62",$503.53,$329.40,$30.08,"$2,446.74",,,$139.43,$122.06,,"-$3,525.58","$2,438.11",68.51%,62.06%,69.15%,,,,,,,,,,,,$403.04,,5/15/2020 Fri,"$3,928.62",$832.93,$30.08,"$2,446.74",$139.43,$122.06,,
,,5/16/2020 Sat,"$5,019.27",$620.53,$627.00,$26.70,"$3,001.53",,,$233.17,$53.84,,"-$4,139.17","$3,496.72",65.78%,69.67%,84.48%,,,,,,,,,,,,$880.10,,5/16/2020 Sat,"$5,019.27","$1,247.53",$26.70,"$3,001.53",$233.17,$53.84,,
,,5/17/2020 Sun,"$3,843.14",$482.33,$722.80,$39.30,"$1,995.45",,,$145.43,$108.29,,"-$3,171.03","$2,281.31",57.11%,59.36%,71.94%,,,,,,,,,,,,$672.11,,5/17/2020 Sun,"$3,843.14","$1,205.13",$39.30,"$1,995.45",$145.43,$108.29,,
,,5/18/2020 Mon,"$3,815.29",$589.21,$500.70,$19.31,"$2,190.93",,,$122.18,$57.24,,"-$3,244.50","$2,665.16",63.17%,69.85%,82.14%,64.96%,Week 113,"$4,317.83",$616.48,$422.37,$34.11,"$2,566.44",,,$197.35,$89.94,$570.79,,5/18/2020 Mon,"$3,815.29","$1,089.91",$19.31,"$2,190.93",$122.18,$57.24,,
,,5/19/2020 Tue,"$4,310.86",$548.78,$160.90,$36.38,"$2,852.44",,,$245.74,$74.51,,"-$3,462.17","$2,560.59",72.79%,59.40%,73.96%,,,,,,,,,,,,$848.69,,5/19/2020 Tue,"$4,310.86",$709.68,$36.38,"$2,852.44",$245.74,$74.51,,
,,5/20/2020 Wed,"$3,975.15",$483.39,$334.40,$20.24,"$2,441.51",,,$214.67,$119.34,,"-$3,425.12","$2,500.81",67.56%,62.91%,73.01%,,,,,,,,,,,,$550.03,,5/20/2020 Wed,"$3,975.15",$817.79,$20.24,"$2,441.51",$214.67,$119.34,,
,,5/21/2020 Thu,"$3,999.52",$632.34,$510.40,$32.77,"$2,065.28",,,$288.95,$105.98,,"-$3,594.38","$2,746.48",56.80%,68.67%,76.41%,,,,,,,,,,,,$405.14,,5/21/2020 Thu,"$3,999.52","$1,142.74",$32.77,"$2,065.28",$288.95,$105.98,,
,,5/22/2020 Fri,"$5,644.94",$775.50,$472.50,$53.97,"$3,492.84",,,$220.28,$116.39,,"-$4,583.43","$3,532.67",68.06%,62.58%,77.07%,,,,,,,,,,,,"$1,061.51",,5/22/2020 Fri,"$5,644.94","$1,248.00",$53.97,"$3,492.84",$220.28,$116.39,,
,,5/23/2020 Sat,"$4,910.45",$791.55,$394.50,$38.35,"$2,952.76",,,$184.45,$102.19,,"-$3,739.92","$2,934.99",66.15%,59.77%,78.48%,,,,,,,,,,,,"$1,170.53",,5/23/2020 Sat,"$4,910.45","$1,186.05",$38.35,"$2,952.76",$184.45,$102.19,,
,,5/24/2020 Sun,"$3,568.58",$494.57,$583.20,$37.76,"$1,969.34",,,$105.19,$53.95,,"-$3,194.94","$2,553.26",60.70%,71.55%,79.92%,,,,,,,,,,,,$373.64,,5/24/2020 Sun,"$3,568.58","$1,077.77",$37.76,"$1,969.34",$105.19,$53.95,,
,,5/25/2020 Mon,"$4,010.40",$556.06,$489.70,$16.18,"$2,372.85",,,$141.51,$69.32,,"-$3,000.07","$1,897.53",65.08%,47.32%,63.25%,59.80%,Week 114,"$4,008.82",$656.38,$375.26,$24.05,"$2,294.85",,,$191.66,$100.55,"$1,010.33",,5/25/2020 Mon,"$4,010.40","$1,045.76",$16.18,"$2,372.85",$141.51,$69.32,,
,,5/26/2020 Tue,"$3,459.91",$606.71,$244.40,$33.98,"$1,804.74",,,$287.41,$167.96,,"-$3,129.88","$2,173.64",57.38%,62.82%,69.45%,,,,,,,,,,,,$330.03,,5/26/2020 Tue,"$3,459.91",$851.11,$33.98,"$1,804.74",$287.41,$167.96,,
,,5/27/2020 Wed,"$4,006.54",$430.73,$235.40,$26.05,"$2,631.61",,,$200.81,$117.43,,"-$3,443.06","$2,156.29",72.25%,53.82%,62.63%,,,,,,,,,,,,$563.48,,5/27/2020 Wed,"$4,006.54",$666.13,$26.05,"$2,631.61",$200.81,$117.43,,
,,5/28/2020 Thu,"$4,012.65",$586.66,$424.40,$17.62,"$2,274.64",,,$195.17,$139.05,,"-$3,507.58","$2,569.72",62.36%,64.04%,73.26%,,,,,,,,,,,,$505.07,,5/28/2020 Thu,"$4,012.65","$1,011.06",$17.62,"$2,274.64",$195.17,$139.05,,
,,5/29/2020 Fri,"$5,659.76","$1,041.57",$423.40,$31.68,"$3,315.25",,,$244.86,$88.17,,"-$4,076.60","$3,235.63",64.43%,57.17%,79.37%,,,,,,,,,,,,"$1,583.16",,5/29/2020 Fri,"$5,659.76","$1,464.97",$31.68,"$3,315.25",$244.86,$88.17,,
,,5/30/2020 Sat,"$3,591.01",$735.79,$247.20,$21.67,"$2,064.51",,,$132.85,$62.39,,"-$3,260.94","$2,496.13",63.24%,69.51%,76.55%,,,,,,,,,,,,$330.07,,5/30/2020 Sat,"$3,591.01",$982.99,$21.67,"$2,064.51",$132.85,$62.39,,
,,5/31/2020 Sun,"$3,321.50",$637.11,$562.30,$21.14,"$1,600.32",,,$139.01,$59.54,,"-$3,057.15","$2,122.65",53.00%,63.91%,69.43%,,,,,,,,,,,,$264.35,,5/31/2020 Sun,"$3,321.50","$1,199.41",$21.14,"$1,600.32",$139.01,$59.54,,
2020년 6월,매출 보고,6/1/2020 Mon,"$5,379.95",$737.03,$328.10,$17.54,"$3,302.44",,,$387.57,$117.90,,"-$4,499.81","$3,454.05",67.52%,64.20%,76.76%,62.29%,June,"$4,936.24",$716.37,$484.94,$28.56,"$2,843.43",,,$214.15,$128.64,$880.14,,6/1/2020 Mon,"$5,379.95","$1,065.13",$17.54,"$3,302.44",$387.57,$117.90,,
