,dates,total,pack,carton,grcy,misc_total,vape,tobacco,beer,main,card
151,2018-08-26,1042.2,236.14,74.9,4.38,528.76,0.0,58.05,45.13,-654.29,486.71
152,2018-08-27,1175.6,207.71,215.7,14.74,595.5,0.0,44.37,21.71,-833.98,653.09
153,2018-08-28,942.25,126.5,170.8,0.25,486.69,0.0,29.56,42.69,-592.54,444.05
154,2018-08-29,952.62,116.06,79.9,9.16,598.58,0.0,29.42,32.82,-667.81,546.97
155,2018-08-30,948.32,242.07,0.0,27.3,557.49,0.0,8.25,26.92,-555.29,426.76
156,2018-08-31,1623.89,512.33,71.9,20.34,762.01,0.0,87.3,22.25,-1065.56,823.66
157,2018-09-01,1799.47,176.51,157.8,10.24,1221.12,0.0,47.76,22.33,-1063.44,810.19
158,2018-09-02,1286.79,173.12,143.8,7.65,753.14,0.0,74.22,17.78,-1063.94,814.75
159,2018-09-03,1332.49,254.91,75.9,16.76,794.8,0.0,41.4,27.46,-985.4,759.15
160,2018-09-04,1681.49,262.45,0.0,11.35,1094.96,0.0,145.76,26.56,-1128.1,882.67
161,2018-09-05,1149.24,227.13,72.9,18.62,655.56,0.0,31.43,39.03,-993.7,743.59
162,2018-09-06,1230.26,114.47,98.9,12.88,806.5,0.0,25.18,60.42,-1084.18,841.45
163,2018-09-07,1618.3,195.54,77.4,7.42,1126.14,0.0,54.98,9.57,-1328.26,999.6
164,2018-09-08,1277.73,189.84,0.0,5.78,836.24,0.0,59.12,70.5,-941.7,749.54
165,2018-09-09,1188.22,209.26,0.0,5.87,724.36,0.0,95.19,45.44,-825.23,664.52
166,2018-09-10,1707.89,167.09,157.8,12.04,1028.81,0.0,171.85,14.95,-828.52,584.58
167,2018-09-11,1256.78,193.4,0.0,2.98,857.36,0.0,54.47,34.23,-540.45,337.95
168,2018-09-12,1690.08,240.85,217.7,12.11,971.78,0.0,61.74,32.16,-1177.29,876.12
169,2018-09-13,1576.47,176.11,79.9,5.46,1052.11,0.0,61.44,57.99,-900.82,713.72
170,2018-09-14,1431.02,233.97,175.35,8.65,793.9,0.0,63.1,25.84,-968.96,786.17
171,2018-09-15,1290.82,168.4,0.0,10.73,859.84,0.0,86.3,48.1,-1015.76,781.88
172,2018-09-16,703.3,115.64,0.0,9.69,497.7,0.0,18.74,15.56,-486.28,283.33
173,2018-09-17,1477.48,282.07,157.8,12.8,823.41,0.0,44.34,22.63,-1109.34,876.05
174,2018-09-18,1134.15,259.11,71.9,9.52,588.29,0.0,60.19,41.94,-778.47,598.78
175,2018-09-19,1077.35,238.83,0.0,10.25,651.72,0.0,32.05,46.47,-816.83,675.05
177,2018-09-21,1905.24,192.41,146.8,16.73,1281.34,0.0,43.72,24.75,-1529.25,1215.92
178,2018-09-22,1479.61,185.66,174.8,3.27,825.02,0.0,101.29,54.96,-1083.36,774.82
179,2018-09-23,1232.43,254.1,0.0,6.83,741.72,0.0,89.58,30.51,-653.06,465.81
180,2018-09-24,1331.46,157.44,83.9,1.45,873.06,0.0,54.07,40.39,-928.86,651.19
181,2018-09-25,1238.62,173.41,71.9,18.89,773.83,0.0,70.63,17.24,-818.52,658.69
182,2018-09-26,1174.79,143.33,89.9,9.57,724.95,0.0,51.92,48.96,-982.66,791.47
183,2018-09-27,1076.52,178.97,0.0,3.35,700.03,0.0,46.74,49.48,-832.43,642.47
184,2018-09-28,1341.88,263.84,0.0,9.59,832.29,0.0,80.72,33.34,-1121.86,911.82
185,2018-09-29,1762.8,239.01,223.7,5.35,1003.89,0.0,100.51,29.98,-1445.01,1187.95
186,2018-09-30,1493.82,124.55,176.8,4.43,446.48,0.0,49.92,42.76,-1145.41,893.82
187,2018-10-01,1890.78,221.71,71.9,26.13,1309.31,0.0,39.35,85.36,-1386.1,1082.02
188,2018-10-02,938.6,228.11,0.0,20.92,478.99,0.0,88.34,36.81,-562.17,410.81
189,2018-10-03,1687.68,252.44,0.0,12.43,1143.18,0.0,70.57,55.52,-1083.85,811.97
190,2018-10-04,1340.8,212.87,0.0,13.7,869.29,0.0,54.5,68.45,-603.44,454.25
191,2018-10-05,2161.93,416.9,83.9,14.06,1329.53,0.0,88.83,32.05,-1532.76,1219.21
192,2018-10-06,2065.56,205.16,233.7,18.18,1326.25,0.0,84.64,17.07,-1632.27,1258.4
193,2018-10-07,940.74,211.93,150.8,5.67,408.82,0.0,55.18,22.77,-524.69,366.93
194,2018-10-08,1025.49,202.76,98.9,4.76,549.23,0.0,54.57,21.94,-797.02,596.34
195,2018-10-09,1197.96,286.46,0.0,15.0,759.11,0.0,31.0,0.0,-887.53,786.46
196,2018-10-10,1249.83,250.6,143.8,6.87,695.52,0.0,20.46,18.85,-942.2,724.01
197,2018-10-11,1736.41,275.45,0.0,18.06,1154.28,0.0,73.41,59.19,-1453.87,1146.31
198,2018-10-12,1590.13,274.46,79.9,10.17,1023.9,0.0,43.27,13.77,-1378.85,1025.17
199,2018-10-13,1266.08,260.42,75.9,12.36,713.84,0.0,54.62,33.75,-881.03,688.63
200,2018-10-14,1364.47,193.05,157.8,9.71,774.21,0.0,84.84,20.71,-946.82,701.51
201,2018-10-15,1108.08,238.3,0.0,7.36,659.82,0.0,60.96,40.81,-796.56,586.73
202,2018-10-16,1123.45,190.3,98.9,8.48,659.72,0.0,42.71,22.95,-598.49,462.51
203,2018-10-17,1235.66,332.98,0.0,29.84,700.05,0.0,41.42,18.95,-809.78,644.55
204,2018-10-18,1476.2,221.21,0.0,8.72,1048.21,0.0,13.94,49.8,-1131.23,879.13
205,2018-10-19,2041.38,175.68,79.9,14.2,1482.88,0.0,49.17,53.82,-1547.06,1164.48
206,2018-10-20,1381.52,272.11,84.9,13.21,796.91,0.0,54.59,34.11,-941.49,787.23
207,2018-10-21,892.92,217.05,0.0,17.89,511.82,0.0,33.08,31.82,-619.65,469.69
208,2018-10-22,1351.39,238.31,73.2,13.63,768.03,0.0,80.03,55.22,-745.93,557.9
209,2018-10-23,1477.34,371.56,73.2,11.96,658.76,0.0,17.51,60.93,-1003.69,865.01
210,2018-10-24,1009.17,165.32,0.0,10.69,658.76,0.0,48.81,33.55,-621.77,470.97
211,2018-10-25,1484.51,245.31,77.3,6.53,929.01,0.0,69.85,21.42,-1280.38,1009.56
212,2018-10-26,1343.41,238.91,166.7,21.22,711.97,0.0,62.57,19.78,-993.58,797.8
213,2018-10-27,2078.15,322.17,190.8,3.5,1257.25,0.0,85.78,29.61,-1858.08,1437.2
214,2018-10-28,1927.56,273.05,248.6,14.86,1171.27,0.0,16.32,28.14,-1335.25,1032.29
215,2018-10-29,988.3,172.02,0.0,10.71,558.85,0.0,119.06,37.71,-577.45,429.79
216,2018-10-30,1313.94,336.89,0.0,4.6,753.48,0.0,35.79,63.62,-736.01,517.81
217,2018-10-31,1076.3,206.3,0.0,15.78,650.96,0.0,52.61,52.74,-537.58,385.05
218,2018-11-01,1519.21,226.18,0.0,6.62,1041.8,0.0,63.93,43.51,-768.5,585.88
219,2018-11-02,1489.14,298.18,73.2,18.99,772.25,0.0,148.54,42.46,-1093.1,809.46
220,2018-11-03,1635.3,274.28,0.0,10.12,1087.28,0.0,81.41,33.43,-1284.18,981.07
221,2018-11-04,1190.1,161.24,77.3,8.46,798.03,0.0,21.24,15.55,-740.85,560.14
222,2018-11-05,1837.14,298.34,307.1,5.86,968.94,0.0,71.26,18.51,-1166.76,917.2
223,2018-11-06,1454.48,334.77,0.0,7.2,859.77,0.0,63.9,56.53,-932.09,713.56
224,2018-11-07,1707.38,308.84,78.9,1.0,1020.02,0.0,78.29,64.97,-1467.3,1163.33
225,2018-11-08,951.99,167.56,0.0,13.89,623.13,0.0,40.35,20.45,-656.75,430.75
226,2018-11-09,1532.87,218.62,166.7,3.26,930.05,0.0,42.67,32.1,-1257.83,1034.06
227,2018-11-10,1830.05,346.56,95.45,9.62,1067.62,0.0,57.03,87.27,-1499.99,1136.13
228,2018-11-11,1132.43,86.38,77.3,7.91,720.38,0.0,102.1,35.33,-968.9,800.38
229,2018-11-12,1245.12,288.32,227.8,9.57,505.42,0.0,81.52,19.23,-948.07,788.41
230,2018-11-13,1103.74,364.4,0.0,12.5,556.85,0.0,50.97,18.57,-766.47,413.03
231,2018-11-14,1297.53,252.63,0.0,10.19,801.68,0.0,68.33,46.64,-921.2,603.44
232,2018-11-15,1431.72,286.02,158.1,8.19,742.79,0.0,71.34,35.03,-1155.65,907.38
233,2018-11-16,1537.61,233.27,0.0,5.49,844.56,0.0,48.54,15.45,-1026.0,774.11
234,2018-11-17,1376.3,223.63,100.0,9.75,848.99,0.0,37.57,31.14,-1266.25,932.86
235,2018-11-18,785.23,213.0,0.0,9.42,403.49,0.0,76.3,11.55,-675.19,489.86
236,2018-11-19,1394.54,269.5,0.0,7.13,879.32,0.0,87.46,40.71,-936.39,612.37
237,2018-11-20,1651.05,187.39,78.9,14.74,1120.66,0.0,50.33,48.83,-1398.04,1100.94
238,2018-11-21,2191.56,284.72,77.3,22.58,1488.62,0.0,53.89,65.1,-1574.0,1114.01
239,2018-11-22,906.38,110.72,0.0,9.1,652.59,0.0,43.84,7.69,-451.36,398.91
240,2018-11-23,2116.43,243.82,84.9,2.85,1445.53,0.0,98.01,48.78,-1771.01,1259.71
241,2018-11-24,1786.77,287.65,253.1,8.96,1008.83,0.0,28.63,37.06,-1446.76,1069.63
242,2018-11-25,1753.89,274.2,0.0,11.74,1218.1,0.0,79.82,10.46,-1533.84,1190.91
243,2018-11-26,1852.75,159.4,227.3,21.92,1045.59,0.0,187.05,42.94,-1334.76,1040.18
244,2018-11-27,1139.67,287.84,0.0,13.42,653.84,0.0,48.2,32.65,-728.69,544.44
245,2018-11-28,1290.29,266.03,0.0,1.0,773.34,0.0,53.0,80.21,-1098.58,703.4
246,2018-11-29,908.25,284.75,0.0,4.48,468.93,0.0,43.42,24.01,-585.44,421.45
247,2018-11-30,1446.43,261.2,73.2,5.35,863.32,0.0,76.17,35.34,-1006.56,732.32
248,2018-12-01,1674.35,369.14,0.0,10.57,1088.67,0.0,25.84,27.79,-1454.3,1140.54
249,2018-12-02,1220.87,217.23,0.0,19.31,805.83,0.0,31.99,35.12,-791.5,668.56
250,2018-12-03,1502.96,200.89,227.39,9.26,868.66,0.0,47.26,20.0,-1370.52,1038.18
251,2018-12-04,1128.77,155.58,0.0,9.34,812.45,0.0,21.3,27.36,-727.65,476.42
252,2018-12-05,1716.56,219.94,99.9,17.2,1105.84,0.0,50.25,58.82,-1484.34,1182.85
253,2018-12-06,1109.45,158.42,0.0,12.19,738.14,0.0,20.54,79.19,-869.5,600.78
254,2018-12-07,1707.93,297.16,80.9,18.0,1012.88,0.0,26.9,117.32,-1196.81,966.11
255,2018-12-08,1448.85,164.82,161.8,10.53,840.83,0.0,57.93,81.13,-1283.82,957.2
256,2018-12-09,1861.87,332.67,158.8,14.14,1131.3,0.0,26.63,28.95,-1378.62,1061.77
257,2018-12-10,1157.16,350.84,73.2,9.84,579.99,0.0,16.88,21.13,-937.12,658.65
258,2018-12-11,1334.88,85.04,153.8,7.76,869.08,0.0,58.34,39.41,-1059.85,851.37
259,2018-12-12,1807.14,226.02,99.9,4.97,1222.18,0.0,67.32,22.34,-1367.08,1050.67
260,2018-12-13,1387.74,241.28,0.0,6.27,927.43,0.0,61.34,25.15,-969.71,732.1
261,2018-12-14,2107.93,311.36,0.0,26.54,1468.97,0.0,75.91,33.37,-1409.0,1038.05
262,2018-12-15,1629.14,258.36,0.0,18.43,1075.97,0.0,66.93,61.22,-1282.11,911.36
263,2018-12-16,1625.57,184.83,153.8,12.24,1018.12,0.0,83.57,25.13,-1194.02,968.23
264,2018-12-17,1706.5,272.8,146.4,18.61,995.5,0.0,52.92,65.01,-1247.71,887.3
265,2018-12-18,1572.22,280.73,73.2,22.95,933.83,0.0,64.36,54.11,-1227.93,1004.0
266,2018-12-19,1771.44,236.24,0.0,11.93,1274.33,0.0,46.59,22.15,-1331.37,932.18
267,2018-12-20,1427.76,160.67,171.8,10.12,860.74,0.0,51.21,43.34,-1285.56,1023.54
268,2018-12-21,2096.13,302.49,83.9,26.73,1359.77,0.0,90.53,42.03,-1656.08,1159.05
269,2018-12-22,2041.92,202.51,327.2,20.09,1256.9,0.0,25.61,13.87,-1601.88,1205.49
270,2018-12-23,2116.76,231.21,158.8,26.12,1409.99,0.0,64.32,33.75,-1704.65,1379.38
271,2018-12-24,1722.58,220.94,0.0,10.95,1274.6,0.0,80.87,31.47,-1172.58,897.11
